100, 99, 2102946, 17144652, 529827, 322041
100, 109, 2170824, 8918684, 296593, 180711
100, 119, 1095762, 6040374, 220064, 134319
100, 129, 882913, 5918341, 289048, 171746
100, 139, 930533, 5663056, 282072, 150960
100, 149, 969985, 5696349, 294048, 157251
100, 159, 979094, 5733905, 290319, 166260
100, 169, 1005598, 5742159, 305917, 173971
100, 179, 1040525, 5826342, 321160, 182663
100, 189, 1087351, 5891674, 361893, 191980
100, 199, 1109277, 5809732, 356936, 198657
100, 209, 1144679, 5828441, 390534, 207331
100, 219, 1203406, 5833157, 418096, 215237
100, 229, 1215796, 5891082, 438103, 222862
100, 239, 1245904, 5809780, 456625, 231786
100, 249, 1325750, 5835007, 449566, 236751
100, 259, 1353050, 5895671, 478169, 245336
100, 269, 1381291, 5936166, 484871, 276586
100, 279, 1406171, 5943725, 499635, 261752
100, 289, 1441147, 6028848, 524682, 269798
100, 299, 1502242, 5947148, 542518, 277928
100, 309, 1548481, 6010623, 581892, 284816
100, 319, 1565960, 5961267, 794069, 424513
100, 329, 1579563, 6023912, 596105, 300015
100, 339, 1637029, 6058523, 616643, 309613
100, 349, 1699421, 6004657, 628218, 315518
100, 359, 1663227, 6085933, 672851, 323509
100, 369, 1688136, 6116072, 666156, 331078
100, 379, 1749694, 6058995, 683735, 339231
100, 389, 1769551, 6074420, 726496, 346242
100, 399, 1789450, 6137442, 721351, 367609
100, 409, 1868359, 6085563, 735555, 364275
100, 419, 1906066, 6138492, 1679118, 565842
100, 429, 2830087, 9413843, 927415, 381836
100, 439, 1969812, 6173246, 793780, 386001
100, 449, 1990706, 6200514, 833877, 393822
100, 459, 2027181, 6252984, 827631, 402782
100, 469, 2091809, 6200456, 845522, 413516
100, 479, 2072933, 6292846, 862594, 420428
100, 489, 2184683, 6267382, 886273, 424492
100, 499, 2201985, 6313990, 904920, 433122
100, 509, 2311474, 6315640, 946130, 437891
100, 519, 2346829, 6296992, 959733, 450432
100, 529, 2348013, 6319899, 960073, 457067
100, 539, 2412856, 6374795, 985277, 466192
100, 549, 2441334, 6376174, 991948, 502217
100, 559, 2428435, 6402760, 1033028, 486635
100, 569, 2507143, 6366117, 1030419, 493384
100, 579, 2531803, 6381916, 1066489, 502132
100, 589, 2566680, 6471468, 1091722, 509876
100, 599, 2574167, 6533364, 1081492, 542277
100, 609, 2627972, 6725629, 1134773, 527374
100, 619, 2684013, 6535457, 1118472, 528962
100, 629, 2745402, 6622362, 1139872, 540988
100, 639, 2761255, 6593934, 1213169, 547046
100, 649, 2788954, 6506305, 1197024, 555546
100, 659, 2847962, 6534001, 1225024, 559219
